psi	Mdot	M	Rd	n_big
0.01	1e-09	0.05	50	0
0.01	1e-09	0.05	100	0
0.01	1e-09	0.05	150	0
0.01	1e-09	0.05	200	1
0.01	1e-09	0.075	50	0
0.01	1e-09	0.075	100	0
0.01	1e-09	0.075	150	0
0.01	1e-09	0.075	200	0
0.01	1e-09	0.1	50	0
0.01	1e-09	0.1	100	0
0.01	1e-09	0.1	150	0
0.01	1e-09	0.1	200	0
0.01	1e-09	0.125	50	0
0.01	1e-09	0.125	100	0
0.01	1e-09	0.125	150	0
0.01	1e-09	0.125	200	0
0.01	1e-09	0.15	100	0
0.01	1e-09	0.15	150	0
0.01	1e-09	0.15	200	1
0.01	3e-09	0.05	50	7
0.01	3e-09	0.05	100	8
0.01	3e-09	0.05	150	7
0.01	3e-09	0.05	200	6
0.01	3e-09	0.075	50	8
0.01	3e-09	0.075	100	9
0.01	3e-09	0.075	150	9
0.01	3e-09	0.075	200	9
0.01	3e-09	0.1	50	8
0.01	3e-09	0.1	100	10
0.01	3e-09	0.1	150	10
0.01	3e-09	0.1	200	10
0.01	3e-09	0.125	50	7
0.01	3e-09	0.125	100	11
0.01	3e-09	0.125	150	10
0.01	3e-09	0.125	200	10
0.01	3e-09	0.15	50	6
0.01	3e-09	0.15	100	11
0.01	3e-09	0.15	150	11
0.01	3e-09	0.15	200	10
0.01	1e-08	0.05	50	8
0.01	1e-08	0.05	100	6
0.01	1e-08	0.05	150	2
0.01	1e-08	0.05	200	0
0.01	1e-08	0.075	50	10
0.01	1e-08	0.075	100	9
0.01	1e-08	0.075	150	8
0.01	1e-08	0.075	200	5
0.01	1e-08	0.1	50	10
0.01	1e-08	0.1	100	9
0.01	1e-08	0.1	150	10
0.01	1e-08	0.1	200	8
0.01	1e-08	0.125	50	11
0.01	1e-08	0.125	100	10
0.01	1e-08	0.125	150	9
0.01	1e-08	0.125	200	10
0.01	1e-08	0.15	50	11
0.01	1e-08	0.15	100	10
0.01	1e-08	0.15	150	9
0.01	1e-08	0.15	200	9
0.01	3e-08	0.05	50	0
0.01	3e-08	0.05	100	0
0.01	3e-08	0.05	150	0
0.01	3e-08	0.05	200	0
0.01	3e-08	0.075	50	6
0.01	3e-08	0.075	100	0
0.01	3e-08	0.075	150	0
0.01	3e-08	0.075	200	0
0.01	3e-08	0.1	50	8
0.01	3e-08	0.1	100	5
0.01	3e-08	0.1	150	0
0.01	3e-08	0.1	200	0
