psi=0.01, Mdot=1e-07, M=0.05, Rd=200, last_t=1.443e+03
psi=0.01, Mdot=3e-07, M=0.05, Rd=50, last_t=1.280e+03
psi=0.01, Mdot=3e-07, M=0.05, Rd=100, last_t=7.133e+02
psi=0.01, Mdot=3e-07, M=0.05, Rd=150, last_t=5.074e+02
psi=0.01, Mdot=3e-07, M=0.05, Rd=200, last_t=4.006e+02
psi=0.01, Mdot=3e-07, M=0.075, Rd=100, last_t=1.001e+03
psi=0.01, Mdot=3e-07, M=0.075, Rd=150, last_t=7.134e+02
psi=0.01, Mdot=3e-07, M=0.075, Rd=200, last_t=5.629e+02
psi=0.01, Mdot=3e-07, M=0.1, Rd=100, last_t=1.276e+03
psi=0.01, Mdot=3e-07, M=0.1, Rd=150, last_t=9.076e+02
psi=0.01, Mdot=3e-07, M=0.1, Rd=200, last_t=7.163e+02
psi=0.01, Mdot=3e-07, M=0.125, Rd=100, last_t=1.540e+03
psi=0.01, Mdot=3e-07, M=0.125, Rd=150, last_t=1.095e+03
psi=0.01, Mdot=3e-07, M=0.125, Rd=200, last_t=8.638e+02
psi=0.01, Mdot=3e-07, M=0.15, Rd=150, last_t=1.275e+03
psi=0.01, Mdot=3e-07, M=0.15, Rd=200, last_t=1.006e+03
psi=0.01, Mdot=1e-06, M=0.05, Rd=50, last_t=3.181e+02
psi=0.01, Mdot=1e-06, M=0.05, Rd=100, last_t=1.764e+02
psi=0.01, Mdot=1e-06, M=0.05, Rd=150, last_t=1.254e+02
psi=0.01, Mdot=1e-06, M=0.075, Rd=50, last_t=4.486e+02
psi=0.01, Mdot=1e-06, M=0.075, Rd=100, last_t=2.483e+02
psi=0.01, Mdot=1e-06, M=0.075, Rd=150, last_t=1.764e+02
psi=0.01, Mdot=1e-06, M=0.075, Rd=200, last_t=1.391e+02
psi=0.01, Mdot=1e-06, M=0.1, Rd=50, last_t=5.719e+02
psi=0.01, Mdot=1e-06, M=0.1, Rd=100, last_t=3.169e+02
psi=0.01, Mdot=1e-06, M=0.1, Rd=150, last_t=2.250e+02
psi=0.01, Mdot=1e-06, M=0.1, Rd=200, last_t=1.771e+02
psi=0.01, Mdot=1e-06, M=0.125, Rd=50, last_t=6.916e+02
psi=0.01, Mdot=1e-06, M=0.125, Rd=100, last_t=3.826e+02
psi=0.01, Mdot=1e-06, M=0.125, Rd=150, last_t=2.716e+02
psi=0.01, Mdot=1e-06, M=0.125, Rd=200, last_t=2.138e+02
psi=0.01, Mdot=1e-06, M=0.15, Rd=50, last_t=8.074e+02
psi=0.01, Mdot=1e-06, M=0.15, Rd=100, last_t=4.463e+02
psi=0.01, Mdot=1e-06, M=0.15, Rd=150, last_t=3.168e+02
psi=0.01, Mdot=1e-06, M=0.15, Rd=200, last_t=2.492e+02
psi=10, Mdot=1e-06, M=0.05, Rd=100, last_t=1.185e+03
psi=10, Mdot=1e-06, M=0.05, Rd=150, last_t=8.503e+02
psi=10, Mdot=1e-06, M=0.05, Rd=200, last_t=6.751e+02
psi=10, Mdot=1e-06, M=0.075, Rd=150, last_t=1.182e+03
psi=10, Mdot=1e-06, M=0.075, Rd=200, last_t=9.379e+02
psi=10, Mdot=1e-06, M=0.1, Rd=200, last_t=1.184e+03
